"STATISTIC","Statistic Label","C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20161","2016Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20162","2016Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20163","2016Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20164","2016Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20171","2017Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20172","2017Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20173","2017Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20174","2017Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20181","2018Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20182","2018Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20183","2018Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20184","2018Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20191","2019Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20192","2019Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20193","2019Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","20194","2019Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20121","2012Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20122","2012Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20123","2012Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20124","2012Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20131","2013Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20132","2013Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20133","2013Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20134","2013Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20141","2014Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20142","2014Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20143","2014Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20144","2014Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20151","2015Q1","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20152","2015Q2","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20153","2015Q3","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20154","2015Q4","%","100"
"TMQ21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","20161","2016Q1","%","100"
